,mouse_name,session_date,pm
0,ZFM-03065,2021-10-28,0.72
1,ZFM-03065,2021-10-27,0.82
2,ZFM-03065,2021-10-26,0.73
3,ZFM-03065,2021-10-25,0.79
4,ZFM-03065,2021-10-22,0.68
5,ZFM-03065,2021-10-21,0.76
6,ZFM-03065,2021-10-20,0.78
7,ZFM-03065,2021-10-20,0.77
8,ZFM-03065,2021-10-19,0.77
9,ZFM-03065,2021-10-15,0.86
10,ZFM-03065,2021-10-14,0.8
11,ZFM-03065,2021-10-13,0.89
12,ZFM-03065,2021-10-13,0.69
13,ZFM-03065,2021-10-12,0.96
14,ZFM-03065,2021-10-11,0.92
15,ZFM-03065,2021-10-08,0.94
16,ZFM-03065,2021-10-07,0.5
17,ZFM-03065,2021-10-05,0.88
18,ZFM-03065,2021-10-04,0.63
19,ZFM-03065,2021-10-01,0.91
20,ZFM-03065,2021-09-30,0.88
21,ZFM-03065,2021-09-29,0.89
22,ZFM-03065,2021-09-28,0.82
23,ZFM-03065,2021-09-27,0.88
24,ZFM-03065,2021-09-24,0.9
25,ZFM-03065,2021-09-23,0.71
26,ZFM-03065,2021-09-22,0.8
27,ZFM-03065,2021-09-21,0.83
28,ZFM-03065,2021-09-20,0.82
29,ZFM-03065,2021-09-20,0.75
30,ZFM-03065,2021-09-17,0.78
31,ZFM-03065,2021-09-16,0.77
32,ZFM-03065,2021-09-15,0.85
33,ZFM-03065,2021-09-14,0.84
34,ZFM-03065,2021-09-13,0.79
35,ZFM-03065,2021-09-10,0.76
36,ZFM-03065,2021-09-09,0.72
37,ZFM-03065,2021-09-08,0.73
38,ZFM-03065,2021-09-07,0.63
39,ZFM-03065,2021-09-06,0.52
40,ZFM-03065,2021-09-03,0.51
41,ZFM-03065,2021-09-02,0.51
42,ZFM-03065,2021-09-01,0.65
43,ZFM-03065,2021-08-31,0.58
44,ZFM-03065,2021-08-30,0.56
45,ZFM-03065,2021-08-27,0.49
