,mouse_name,session_date,pm
0,ZFM-04534,2022-08-04,0.81
1,ZFM-04534,2022-08-03,0.83
2,ZFM-04534,2022-08-02,0.74
3,ZFM-04534,2022-07-29,0.76
4,ZFM-04534,2022-07-28,0.75
5,ZFM-04534,2022-07-27,0.72
6,ZFM-04534,2022-07-26,0.78
7,ZFM-04534,2022-07-22,0.75
8,ZFM-04534,2022-07-20,0.75
9,ZFM-04534,2022-07-19,0.78
10,ZFM-04534,2022-07-18,0.73
11,ZFM-04534,2022-07-15,0.76
12,ZFM-04534,2022-07-14,0.85
13,ZFM-04534,2022-07-13,0.69
14,ZFM-04534,2022-07-08,0.75
15,ZFM-04534,2022-07-07,0.7
16,ZFM-04534,2022-07-06,0.78
17,ZFM-04534,2022-07-05,0.77
18,ZFM-04534,2022-06-30,0.76
19,ZFM-04534,2022-06-29,0.71
20,ZFM-04534,2022-06-28,0.68
21,ZFM-04534,2022-06-27,0.7
22,ZFM-04534,2022-06-24,0.58
23,ZFM-04534,2022-06-23,0.68
24,ZFM-04534,2022-06-22,0.59
25,ZFM-04534,2022-06-21,0.56
26,ZFM-04534,2022-06-10,0.52
27,ZFM-04534,2022-06-09,0.57
28,ZFM-04534,2022-06-08,0.44
29,ZFM-04534,2022-06-07,0.49
30,ZFM-04534,2022-06-06,0.42
31,ZFM-04534,2022-06-03,0.52
32,ZFM-04534,2022-06-02,0.48
33,ZFM-04534,2022-06-01,0.36
34,ZFM-04534,2022-05-31,0.45
35,ZFM-04534,2022-05-30,0.45
