,mouse_name,session_date,pm
0,ZFM-04392,2022-08-04,0.55
1,ZFM-04392,2022-08-03,0.52
2,ZFM-04392,2022-08-02,0.52
3,ZFM-04392,2022-07-29,0.85
4,ZFM-04392,2022-07-28,0.83
5,ZFM-04392,2022-07-27,0.85
6,ZFM-04392,2022-07-26,0.65
7,ZFM-04392,2022-07-25,0.66
8,ZFM-04392,2022-07-22,0.71
9,ZFM-04392,2022-07-21,0.52
10,ZFM-04392,2022-07-20,0.63
11,ZFM-04392,2022-07-19,0.66
12,ZFM-04392,2022-07-18,0.67
13,ZFM-04392,2022-07-15,0.74
14,ZFM-04392,2022-07-14,0.74
15,ZFM-04392,2022-07-13,0.67
16,ZFM-04392,2022-07-08,0.73
17,ZFM-04392,2022-07-07,0.69
18,ZFM-04392,2022-07-06,0.59
19,ZFM-04392,2022-07-05,0.65
20,ZFM-04392,2022-07-01,0.77
21,ZFM-04392,2022-06-30,0.68
22,ZFM-04392,2022-06-29,0.6
23,ZFM-04392,2022-06-28,0.57
24,ZFM-04392,2022-06-27,0.63
25,ZFM-04392,2022-06-24,0.77
26,ZFM-04392,2022-06-23,0.76
27,ZFM-04392,2022-06-22,0.81
28,ZFM-04392,2022-06-21,0.78
29,ZFM-04392,2022-06-10,0.8
30,ZFM-04392,2022-06-09,0.68
31,ZFM-04392,2022-06-08,0.73
32,ZFM-04392,2022-06-07,0.55
33,ZFM-04392,2022-06-06,0.55
34,ZFM-04392,2022-06-03,0.55
35,ZFM-04392,2022-06-02,0.48
36,ZFM-04392,2022-06-01,0.48
37,ZFM-04392,2022-05-31,0.5
